日期,原神
2022-07-02,146743
2022-07-03,137328
2022-07-04,115882
2022-07-05,114698
2022-07-06,114983
2022-07-07,120857
2022-07-08,127887
2022-07-09,134734
2022-07-10,129027
2022-07-11,139915
2022-07-12,151999
2022-07-13,277767
2022-07-14,168425
2022-07-15,160450
2022-07-16,155373
2022-07-17,148239
2022-07-18,145130
2022-07-19,145546
2022-07-20,138165
2022-07-21,132098
2022-07-22,132682
2022-07-23,132291
2022-07-24,129078
2022-07-25,122287
2022-07-26,121073
2022-07-27,120893
2022-07-28,119649
2022-07-29,120965
2022-07-30,124301
2022-07-31,125367
2022-08-01,126292
2022-08-02,128534
2022-08-03,122762
2022-08-04,120080
2022-08-05,116768
2022-08-06,117280
2022-08-07,116746
2022-08-08,115843
2022-08-09,115798
2022-08-10,114737
2022-08-11,116208
2022-08-12,115322
2022-08-13,142153
2022-08-14,136314
2022-08-15,121072
2022-08-16,121429
2022-08-17,121765
2022-08-18,120416
2022-08-19,118934
2022-08-20,119512
2022-08-21,116956
2022-08-22,122482
2022-08-23,124424
2022-08-24,253340
2022-08-25,153328
2022-08-26,140861
2022-08-27,139420
2022-08-28,135049
2022-08-29,130809
2022-08-30,122757
2022-08-31,106418
2022-09-01,92886
2022-09-02,100037
2022-09-03,127339
2022-09-04,110213
2022-09-05,85422
2022-09-06,83684
2022-09-07,80474
2022-09-08,85003
2022-09-09,141169
2022-09-10,182987
2022-09-11,138724
2022-09-12,108905
2022-09-13,79144
2022-09-14,78911
2022-09-15,78648
2022-09-16,107753
2022-09-17,152375
2022-09-18,120416
2022-09-19,76435
2022-09-20,73048
2022-09-21,71227
2022-09-22,72526
2022-09-23,90431
2022-09-24,126386
2022-09-25,101919
2022-09-26,71354
2022-09-27,73524
2022-09-28,154919
2022-09-29,100982
2022-09-30,175489
2022-10-01,216156
2022-10-02,166943
2022-10-03,148239
2022-10-04,130821
2022-10-05,124322
2022-10-06,112880
2022-10-07,98027
2022-10-08,79506
2022-10-09,76481
2022-10-10,71346
2022-10-11,74986
2022-10-12,73932
2022-10-13,77128
2022-10-14,107479
2022-10-15,140934
2022-10-16,115357
2022-10-17,78065
2022-10-18,77588
2022-10-19,77077
2022-10-20,79084
2022-10-21,101410
2022-10-22,135419
2022-10-23,127922
2022-10-24,90248
2022-10-25,82067
2022-10-26,80346
2022-10-27,80937
2022-10-28,102789
2022-10-29,133353
2022-10-30,100314
2022-10-31,97055
2022-11-01,101933
2022-11-02,208014
2022-11-03,123846
2022-11-04,150649
2022-11-05,175852
2022-11-06,153454
2022-11-07,113554
2022-11-08,104727
2022-11-09,103447
2022-11-10,99912
2022-11-11,116658
2022-11-12,151501
2022-11-13,129259
2022-11-14,92972
2022-11-15,91573
2022-11-16,92007
2022-11-17,102099
2022-11-18,131169
2022-11-19,168325
2022-11-20,141951
2022-11-21,105887
2022-11-22,102594
2022-11-23,103579
2022-11-24,103212
2022-11-25,137770
2022-11-26,157225
2022-11-27,132482
2022-11-28,114490
2022-11-29,109121
2022-11-30,106766
2022-12-01,104877
2022-12-02,118296
2022-12-03,142275
2022-12-04,133030
2022-12-05,126568
2022-12-06,129375
2022-12-07,223017
2022-12-08,132018
2022-12-09,151026
2022-12-10,166911
2022-12-11,138580
2022-12-12,104672
2022-12-13,101705
2022-12-14,103503
2022-12-15,106923
2022-12-16,122669
2022-12-17,132905
2022-12-18,117564
2022-12-19,122572
2022-12-20,124925
2022-12-21,125021
2022-12-22,122197
2022-12-23,121126
2022-12-24,113873
2022-12-25,110675
2022-12-26,120627
2022-12-27,146967
2022-12-28,141020
2022-12-29,127706
2022-12-30,130226
2022-12-31,137761
2023-01-01,141032
2023-01-02,130608
2023-01-03,132313
2023-01-04,140682
2023-01-05,139880
2023-01-06,155031
2023-01-07,149945
2023-01-08,140446
2023-01-09,138310
2023-01-10,133390
2023-01-11,135850
2023-01-12,139332
2023-01-13,136654
2023-01-14,140359
2023-01-15,141051
2023-01-16,143184
2023-01-17,151316
2023-01-18,253437
2023-01-19,174879
2023-01-20,161919
2023-01-21,160927
2023-01-22,144181
2023-01-23,150277
2023-01-24,139529
2023-01-25,135423
2023-01-26,132109
2023-01-27,126979
2023-01-28,128331
2023-01-29,127013
2023-01-30,122369
2023-01-31,120969
2023-02-01,122994
2023-02-02,120949
2023-02-03,119758
2023-02-04,130341
2023-02-05,127092
